date,Count2017,Count2018,Count2019,Count2020
12/6/2017,343,341,487,151
12/5/2017,366,392,404,607
12/4/2017,395,429,343,656
12/3/2017,731,428,311,640
12/2/2017,769,715,299,519
12/1/2017,503,766,535,580
11/30/2017,369,490,576,1081
11/29/2017,374,421,459,1173
11/28/2017,384,398,575,1118
11/27/2017,294,402,475,1000
11/26/2017,690,336,433,763
11/25/2017,587,562,400,625
11/24/2017,446,503,597,637
11/23/2017,559,497,709,1079
11/22/2017,372,492,470,1528
11/21/2017,363,382,450,983
11/20/2017,325,388,359,574
11/19/2017,678,370,347,543
11/18/2017,705,689,321,496
11/17/2017,431,804,606,537
11/16/2017,402,374,714,1020
11/15/2017,349,326,497,1337
11/14/2017,427,342,434,735
11/13/2017,408,385,338,542
11/12/2017,649,432,377,579
11/11/2017,729,687,524,883
11/10/2017,422,834,725,951
11/9/2017,398,457,686,1971
11/8/2017,346,434,500,1864
11/7/2017,392,474,401,1330
11/6/2017,446,382,450,1066
11/5/2017,832,408,484,925
11/4/2017,898,761,413,761
11/3/2017,592,896,818,480
11/2/2017,525,596,900,1496
11/1/2017,445,594,620,1509
10/31/2017,465,624,560,718
10/30/2017,350,486,482,523
10/29/2017,1006,445,501,763
10/28/2017,1268,940,540,825
10/27/2017,640,756,1030,704
10/26/2017,391,559,1262,1372
10/25/2017,470,463,804,2054
10/24/2017,375,460,564,1487
10/23/2017,497,460,506,1085
10/22/2017,1184,401,448,1028
10/21/2017,1213,728,528,893
10/20/2017,706,934,816,923
10/19/2017,501,613,1045,1801
10/18/2017,438,463,606,1803
10/17/2017,420,415,404,743
10/16/2017,434,463,371,1063
10/15/2017,1135,501,582,1135
10/14/2017,1143,869,661,677
10/13/2017,681,1014,1112,575
10/12/2017,465,574,1153,2498
10/11/2017,411,360,553,2668
10/10/2017,449,529,530,1472
10/9/2017,345,510,482,877
10/8/2017,995,612,475,897
10/7/2017,1091,1175,523,1076
10/6/2017,669,1276,1025,1219
10/5/2017,415,681,1033,2610
10/4/2017,530,518,580,2543
10/3/2017,498,414,415,1885
10/2/2017,511,438,444,1211
10/1/2017,1154,554,545,937
9/30/2017,1126,1256,577,659
9/29/2017,692,1382,1288,881
9/28/2017,439,720,1424,2502
9/27/2017,404,520,885,2776
9/26/2017,400,465,532,1611
9/25/2017,415,394,541,1305
9/24/2017,1178,477,466,1224
9/23/2017,1368,1219,499,957
9/22/2017,770,1323,1397,1469
9/21/2017,507,741,1587,2619
9/20/2017,467,553,845,2871
9/19/2017,375,499,645,1988
9/18/2017,420,351,522,2199
9/17/2017,1165,469,529,1262
9/16/2017,1266,1214,630,1171
9/15/2017,610,1375,1424,1456
9/14/2017,420,691,1471,3219
9/13/2017,486,496,715,2707
9/12/2017,500,447,442,1359
9/11/2017,537,533,534,713
9/10/2017,1227,378,577,962
9/9/2017,1471,853,595,1011
9/8/2017,772,1126,1489,2883
9/7/2017,487,532,1472,2973
9/6/2017,379,323,547,2523
9/5/2017,498,342,584,1672
9/4/2017,1444,371,475,1005
9/3/2017,1294,999,538,1079
9/2/2017,1057,1317,1088,989
9/1/2017,771,1084,1739,1561
8/31/2017,548,566,1407,2748
8/30/2017,489,371,829,2067
8/29/2017,363,359,594,1128
8/28/2017,564,362,421,863
8/27/2017,1404,422,621,933
8/26/2017,1413,1266,578,657
8/25/2017,691,1350,1442,1250
8/24/2017,495,734,1615,2913
8/23/2017,447,583,671,2491
8/22/2017,332,416,376,1529
8/21/2017,484,540,392,1169
8/20/2017,1280,552,410,955
8/19/2017,1087,966,411,913
8/18/2017,450,853,1006,1225
8/17/2017,522,420,1270,2231
8/16/2017,441,428,770,2944
8/15/2017,348,483,485,1278
8/14/2017,466,454,373,1069
8/13/2017,1367,411,421,779
8/12/2017,1109,932,519,972
8/11/2017,643,773,1247,1662
8/10/2017,551,537,1405,3404
8/9/2017,606,403,625,3130
8/8/2017,244,349,415,1229
8/7/2017,405,291,298,1379
8/6/2017,1377,358,452,1245
8/5/2017,1095,982,474,831
8/4/2017,611,994,949,891
8/3/2017,469,450,1093,2883
8/2/2017,340,378,619,3656
8/1/2017,415,438,464,1252
7/31/2017,492,546,326,853
7/30/2017,1546,538,377,1144
7/29/2017,1273,1271,461,752
7/28/2017,638,1071,1266,1189
7/27/2017,515,426,1189,2633
7/26/2017,621,428,627,2653
7/25/2017,478,330,543,1343
7/24/2017,419,468,525,1241
7/23/2017,814,413,377,996
7/22/2017,883,676,301,1054
7/21/2017,528,930,908,1255
7/20/2017,390,777,1064,2221
7/19/2017,454,617,566,1835
7/18/2017,221,470,365,1615
7/17/2017,439,331,311,1305
7/16/2017,1295,464,460,998
7/15/2017,1175,883,528,1085
7/14/2017,425,1258,1154,1099
7/13/2017,358,696,1288,2424
7/12/2017,362,551,595,1623
7/11/2017,377,452,310,763
7/10/2017,429,475,382,935
7/9/2017,1394,525,548,798
7/8/2017,1018,1260,527,749
7/7/2017,504,1302,1052,1206
7/6/2017,435,508,906,4242
7/5/2017,713,685,989,3118
7/4/2017,1269,1285,1270,1316
7/3/2017,665,428,640,1191
7/2/2017,1163,474,487,823
7/1/2017,1030,971,654,1159
6/30/2017,647,1208,1334,1346
6/29/2017,636,655,716,2873
6/28/2017,611,446,259,2512
6/27/2017,548,481,706,2022
6/26/2017,612,609,709,1523
6/25/2017,1451,611,590,1263
6/24/2017,1190,1416,763,1329
6/23/2017,523,1307,1858,2163
6/22/2017,585,684,1891,4369
6/21/2017,553,556,957,4634
6/20/2017,452,526,497,2369
6/19/2017,392,428,471,1733
6/18/2017,1530,519,398,2053
