date,Commercial,Vehicle,Street
11/7/2020,37,70,166
11/6/2020,168,353,746
11/5/2020,142,630,450
11/4/2020,94,546,347
11/3/2020,48,131,193
11/2/2020,52,113,143
11/1/2020,182,240,334
10/31/2020,244,232,398
10/30/2020,117,130,148
10/29/2020,70,107,103
10/28/2020,90,149,355
10/27/2020,95,220,326
10/26/2020,93,135,267
10/25/2020,156,219,469
10/24/2020,323,489,1092
10/23/2020,243,380,964
10/22/2020,194,290,595
10/21/2020,165,241,518
10/20/2020,124,188,474
10/19/2020,118,410,410
10/18/2020,293,283,942
10/17/2020,266,237,612
10/16/2020,116,165,307
10/15/2020,167,241,647
10/14/2020,147,236,589
10/13/2020,81,191,247
10/12/2020,89,137,116
10/11/2020,306,418,1073
10/10/2020,369,421,1359
10/9/2020,270,275,716
10/8/2020,168,152,328
10/7/2020,111,226,391
10/6/2020,99,233,481
10/5/2020,158,225,555
10/4/2020,362,386,1113
10/3/2020,433,506,1355
10/2/2020,266,661,806
10/1/2020,203,251,601
9/30/2020,159,264,499
9/29/2020,85,173,265
9/28/2020,105,248,512
9/27/2020,376,507,1458
9/26/2020,396,478,1649
9/25/2020,285,366,1013
9/24/2020,239,330,665
9/23/2020,214,330,635
9/22/2020,106,160,307
9/21/2020,112,513,484
9/20/2020,357,663,1097
9/19/2020,339,854,1207
9/18/2020,238,992,870
9/17/2020,204,292,765
9/16/2020,169,238,537
9/15/2020,159,244,534
9/14/2020,131,311,597
9/13/2020,346,990,1790
9/12/2020,405,469,1635
9/11/2020,263,313,927
9/10/2020,88,110,197
9/9/2020,106,220,503
9/8/2020,97,256,654
9/7/2020,187,604,1821
9/6/2020,275,483,1987
9/5/2020,309,439,1720
9/4/2020,191,684,821
9/3/2020,100,137,260
9/2/2020,77,238,464
9/1/2020,123,215,534
8/31/2020,151,384,847
8/30/2020,318,575,1946
8/29/2020,261,401,1347
8/28/2020,162,255,733
8/27/2020,117,220,417
8/26/2020,101,313,557
8/25/2020,66,185,377
8/24/2020,78,251,562
8/23/2020,256,711,1899
8/22/2020,268,478,1779
8/21/2020,240,407,1237
8/20/2020,147,295,955
8/19/2020,116,265,677
8/18/2020,103,250,599
8/17/2020,109,246,502
8/16/2020,170,510,1572
8/15/2020,301,615,1915
8/14/2020,171,413,1010
8/13/2020,101,224,526
8/12/2020,68,208,412
8/11/2020,81,231,521
8/10/2020,97,299,765
8/9/2020,245,608,2157
8/8/2020,314,526,1728
8/7/2020,156,188,701
8/6/2020,150,328,775
8/5/2020,112,262,609
8/4/2020,46,195,306
8/3/2020,67,255,584
8/2/2020,209,636,1739
8/1/2020,285,690,1836
7/31/2020,178,296,889
7/30/2020,110,194,565
7/29/2020,98,254,628
7/28/2020,77,193,555
7/27/2020,97,294,856
7/26/2020,254,472,1779
7/25/2020,304,470,1711
7/24/2020,265,336,937
7/23/2020,125,199,531
7/22/2020,90,128,318
7/21/2020,114,193,601
7/20/2020,110,259,769
7/19/2020,309,576,1809
7/18/2020,306,416,1316
7/17/2020,265,361,1059
7/16/2020,245,317,944
7/15/2020,134,314,754
7/14/2020,124,323,706
7/13/2020,178,304,888
7/12/2020,391,542,1925
7/11/2020,280,281,971
7/10/2020,107,231,462
7/9/2020,197,294,727
7/8/2020,109,233,500
7/7/2020,89,196,524
7/6/2020,109,201,683
7/5/2020,236,459,2962
7/4/2020,245,340,2353
7/3/2020,173,269,1178
7/2/2020,150,257,1060
7/1/2020,132,201,555
6/30/2020,125,257,932
6/29/2020,114,302,1236
6/28/2020,246,557,2645
6/27/2020,282,465,2292
6/26/2020,252,433,1772
6/25/2020,162,329,1472
6/24/2020,151,267,1273
6/23/2020,129,254,1314
6/22/2020,100,326,2137
6/21/2020,157,597,4299
6/20/2020,191,584,3508
6/19/2020,153,454,2350
6/18/2020,106,341,1677
6/17/2020,98,326,1560
6/16/2020,95,340,1424
6/15/2020,89,299,1349
6/14/2020,177,529,2406
6/13/2020,208,474,2143
6/12/2020,155,380,1326
6/11/2020,96,227,629
6/10/2020,87,366,979
6/9/2020,82,356,1092
6/8/2020,71,411,1095
6/7/2020,135,455,1491
6/6/2020,78,328,989
6/5/2020,54,152,394
6/4/2020,57,257,645
6/3/2020,52,166,386
6/2/2020,49,116,337
6/1/2020,54,176,429
5/31/2020,111,402,1477
5/30/2020,124,502,1413
5/29/2020,89,272,668
5/28/2020,82,225,637
5/27/2020,78,297,903
5/26/2020,73,395,1041
5/25/2020,94,393,1487
5/24/2020,114,397,1180
5/23/2020,75,194,490
5/22/2020,89,292,661
5/21/2020,75,219,487
5/20/2020,45,156,436
5/19/2020,53,150,361
5/18/2020,81,196,467
5/17/2020,72,284,864
5/16/2020,117,488,1210
